artist_id,artist_name,why
4499067,Chanson de Noel,before_classif
13501391,"All Night Sleeping Songs to Help You Relax, Zen Music Garden, Calm Music for Studying",before_classif
1405236,Film Musical Orchestra,before_classif
2148731,The Best of Italian Pop Songs,before_classif
7568708,Running Music Workout,before_classif
1120568,Massage Music,before_classif
142885612,Troniq Music,before_classif
3857211,Extreme Music,before_classif
1036444,High School Music Band,before_classif
1185446,Romantic Music Ensemble,before_classif
13725645,"Nature Sounds for Sleep and Relaxation, Peaceful Piano Collection, Reading Music Ensemble",before_classif
606161,Dance Music Decade,before_classif
14280257,Mozart Lullabies Baby Lullaby & Sleep Music Piano Relaxation Masters,before_classif
13684057,"Deep Sleep Music Delta Binaural 432 Hz, Cool Chillout Zone, Musica De Piano Escuela",before_classif
7201946,Sleeping Baby Music,before_classif
8405858,Oriental Music Zone,before_classif
1351023,Musica Relajante,before_classif
9243964,Best Of House Music,before_classif
1351090,Buddha Hotel Bar Music Dj,before_classif
1448907,Piano Music Experts,before_classif
52099032,Baby Music from I'm In Records,before_classif
93630,The New Musical Cast,before_classif
7811860,Restaurant Background Music Academy,before_classif
71313512,Concentration Music for Work,before_classif
126866852,Jazz Fruits Music,before_classif
102268422,Movie Music,before_classif
113250682,Relax Music Channel,before_classif
5188336,Christian Music Guru,before_classif
5495084,Meditative Music Guru,before_classif
12954351,Relax Music For Reading,before_classif
1186053,Serenity Music Ensamble,before_classif
136272442,Ninjago Music,before_classif
4020807,Paris Music,before_classif
77256312,Cast of High School Musical: The Musical: The Series,before_classif
1233958,The Country Music Heroes,before_classif
3841891,Piano Bar Music Specialists,before_classif
70177512,Musicothérapie du sommeil,before_classif
1184206,Restaurant Music Academy,before_classif
7935884,Instrumental Jazz Music Ambient,before_classif
13262479,Musicothérapie Chinoise,before_classif
14710045,Calm Music,before_classif
1997851,Studying Music,before_classif
4087246,The Disco Music Makers,before_classif
384454,Stingray Music,before_classif
5163128,Irish Songs Music,before_classif
4063657,Heart Music,before_classif
9772686,Sleepy Night Music,before_classif
11909525,"Instrumental Christian Songs, Christian Piano Music, Praise and Worship & Christian Hymns",before_classif
1196775,1940s Music,before_classif
11084720,Power Music Beatz,before_classif
651255,Comédies Musicales,before_classif
410192,Workout Music,before_classif
6967801,Music Legends,before_classif
1948041,Reading and Study Music,before_classif
84420182,Extra Musica Nouvel Horizon,before_classif
177042537,HARDSTYLE MUSIC,before_classif
1398844,Exam Study Classical Music Orchestra,before_classif
1185447,Calm Music for Studying,before_classif
4668332,Malian Musicians,before_classif
200098,Jazz,before_classif
7607494,Amazing Chill Out Jazz Paradise,before_classif
1227772,Chilled Jazz Masters,before_classif
1183107,Bossa Nova Latin Jazz Piano Collective,before_classif
11711835,Jazz Instrumental Relax Center,before_classif
5498934,Jazz Playlist Masters,before_classif
5357390,Jazz Blues Consort,before_classif
11787809,Restaurant jazz sensation,before_classif
251635,Jazz Instrumentals,before_classif
58760622,Jazz Instrumental Chill,before_classif
4350032,Soft Jazz,before_classif
13395481,Jazz Piano Bar,before_classif
68611932,Jazz Ambiance,before_classif
1350966,Jazz Piano Club,before_classif
51980472,Jacob's Piano,before_classif
10961478,Piano Peace,before_classif
390076,Piano,before_classif
